"";"Reading";"Listening music";"Cinema";"Show";"Exhibition";"Computer";"Sport";"Walking";"Travelling";"Playing music";"Collecting";"Volunteering";"Mechanic";"Gardening";"Knitting";"Cooking";"Fishing";"TV";"Sex";"Age";"Marital status";"Profession";"nb.activitees"
"11004310";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"(65,75]";"Divorcee";NA;6
"11004810";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"F";"(35,45]";"Single";"Employee";10
"11005210";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"M";"[15,25]";"Single";NA;11
"11005310";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"F";"(45,55]";"Married";"Management";11
"11005810";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"2";"M";"(35,45]";"Single";"Management";9
"11006010";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"F";"(25,35]";"Single";"Management";11
"11006110";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"M";"(55,65]";"Married";NA;5
"11006510";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(35,45]";"Married";NA;12
"11006910";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"F";"(45,55]";"Single";"Management";8
"11007010";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"M";"(35,45]";"Remarried";"Other";10
"11007110";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"F";"(25,35]";"Single";"Management";11
"11007210";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(25,35]";"Single";"Management";10
"11007510";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"3";"M";"(35,45]";"Married";"Management";10
"11007610";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(65,75]";"Married";"Employee";6
"11007710";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"[15,25]";"Single";"Manual labourer";5
"11007810";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"F";"(45,55]";"Divorcee";"Management";9
"11008210";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(85,100]";"Widower";"Employee";2
"11008410";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"F";"(35,45]";"Divorcee";NA;10
"11008610";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"4";"M";"(65,75]";"Divorcee";NA;13
"11008810";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"F";"(45,55]";"Divorcee";"Employee";8
"11008910";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(75,85]";"Widower";"Management";2
"11009110";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(55,65]";"Remarried";"Management";8
"11009210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(45,55]";"Married";"Unskilled worker";1
"11009610";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"4";"F";"(35,45]";"Single";"Management";8
"11009710";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"F";"(35,45]";"Married";"Management";12
"11009810";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(25,35]";"Married";"Other";7
"11009910";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"M";"(65,75]";"Married";"Management";8
"11010410";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"(45,55]";"Married";"Unskilled worker";5
"11010610";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"F";"(45,55]";"Single";NA;8
"11010710";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(45,55]";"Single";"Employee";11
"11010910";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"M";"(45,55]";"Divorcee";"Unskilled worker";5
"11011210";"0";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"3";"F";"(45,55]";"Married";"Employee";9
"11011410";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"M";"(25,35]";"Single";"Management";10
"11011610";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(25,35]";"Divorcee";"Unskilled worker";5
"11011910";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(35,45]";"Married";"Management";9
"11012310";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"4";"F";"[15,25]";"Single";"Management";14
"11012410";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3";"M";"(55,65]";"Divorcee";"Management";8
"11012610";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"F";"(55,65]";"Divorcee";NA;7
"11012710";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"F";"(35,45]";"Single";"Employee";5
"11012910";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(35,45]";"Divorcee";"Employee";4
"11013010";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"F";"(55,65]";"Married";"Employee";7
"11013210";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"2";"M";"(35,45]";"Single";"Management";12
"11013310";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"3";"M";"(35,45]";"Single";"Employee";9
"11013610";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"4";"M";"(65,75]";"Widower";"Management";11
"11014210";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(25,35]";"Single";"Management";11
"11014610";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(25,35]";"Single";"Management";6
"11014810";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"F";"[15,25]";"Single";NA;8
"11015110";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"[15,25]";"Single";NA;4
"11015810";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"F";"(25,35]";"Single";"Technician";10
"11015910";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"(35,45]";"Single";"Management";8
"11016010";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"(65,75]";"Single";"Technician";6
"11016210";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(55,65]";"Single";"Technician";5
"11016410";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"F";"(35,45]";"Single";"Management";11
"11016710";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"F";"(55,65]";"Divorcee";"Technician";7
"11016810";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"F";"(45,55]";"Single";"Employee";5
"11017010";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"F";"(65,75]";"Divorcee";"Employee";2
"11017210";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(45,55]";"Married";"Employee";2
"11017310";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"M";"(65,75]";"Married";"Management";8
"11017410";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"M";"(35,45]";"Single";"Foreman";13
"11017510";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"3";"M";"(55,65]";"Married";"Management";6
"11017610";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"3";"M";"(65,75]";"Married";NA;10
"11017710";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"M";"(25,35]";"Single";"Management";13
"11018210";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"F";"[15,25]";"Single";NA;10
"11018810";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"F";"(65,75]";"Divorcee";"Employee";11
"11019110";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"F";"[15,25]";"Single";NA;9
"11019410";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"1";"1";"4";"M";"(25,35]";"Married";"Management";12
"11019610";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"M";"(35,45]";"Married";"Management";10
"11019710";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"[15,25]";"Single";NA;8
"11019810";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"M";"(35,45]";"Single";"Foreman";10
"11019910";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"F";"(25,35]";"Married";"Employee";10
"11020110";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"2";"F";"[15,25]";"Single";"Employee";14
"11020210";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"2";"F";"(35,45]";"Single";NA;13
"11020310";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(65,75]";"Single";"Employee";2
"11020410";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"4";"F";"(75,85]";"Widower";"Management";9
"11020610";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(75,85]";"Remarried";"Manual labourer";1
"11020710";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"M";"(25,35]";"Single";"Management";8
"11020810";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"4";"M";"(45,55]";"Married";"Management";11
"11021010";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"2";"F";"(65,75]";"Married";"Management";10
"11021110";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"4";"M";"(45,55]";"Remarried";"Management";10
"11021210";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(35,45]";"Remarried";"Employee";8
"11021310";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(25,35]";"Married";NA;8
"11021510";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"F";"(55,65]";"Single";NA;3
"11021610";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"2";"M";"(35,45]";"Single";"Employee";12
"11021910";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"4";"F";"(55,65]";"Married";"Management";11
"11022010";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"2";"M";"(55,65]";"Married";"Management";13
"11022310";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(45,55]";"Married";"Foreman";5
"11022410";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"4";"F";"[15,25]";"Single";NA;12
"11022510";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(45,55]";"Remarried";"Management";9
"11022710";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"F";"(25,35]";"Married";"Employee";10
"11022810";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(25,35]";"Single";"Employee";9
"11022910";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(25,35]";"Single";"Management";9
"11023410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"(75,85]";"Remarried";"Management";0
"11023910";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(35,45]";"Married";NA;7
"11024010";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"M";"(85,100]";"Married";NA;4
"11024110";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"M";"(65,75]";"Single";"Management";3
"11024210";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"F";"(45,55]";"Married";"Management";11
"11024410";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"F";"[15,25]";"Single";NA;6
"11024710";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(25,35]";"Single";"Management";7
"11024810";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"F";"(45,55]";"Married";"Management";11
"11024910";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"F";"(35,45]";"Married";"Employee";8
"11025210";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(65,75]";"Divorcee";NA;7
"11025310";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(25,35]";"Single";"Management";9
"11025610";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"F";"(65,75]";"Married";NA;6
"11025710";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"M";"[15,25]";"Single";NA;8
"11026010";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(25,35]";"Single";"Employee";9
"11026110";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"[15,25]";"Single";NA;6
"11026210";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"F";"(45,55]";"Married";"Employee";10
"11026810";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"M";"(55,65]";"Single";"Technician";5
"11027410";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(65,75]";"Married";"Management";3
"11027710";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"3";"M";"[15,25]";"Single";"Employee";13
"11028010";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(75,85]";"Widower";"Management";4
"11028110";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"M";"[15,25]";"Single";NA;8
"11028210";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(55,65]";"Married";"Foreman";9
"11028310";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"M";"[15,25]";"Single";"Manual labourer";9
"11028410";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"F";"[15,25]";"Single";NA;10
"11028510";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"4";"F";"[15,25]";"Single";NA;11
"11028610";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"F";"(35,45]";"Married";"Management";9
"11028710";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(65,75]";"Married";"Management";7
"11028810";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(35,45]";"Married";"Management";8
"11028910";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(55,65]";"Married";"Management";8
"11029410";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"3";"F";"(65,75]";"Married";"Employee";7
"11029710";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(55,65]";"Single";NA;9
"11029910";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"F";"(55,65]";"Married";"Employee";6
"11030110";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"M";"(45,55]";"Married";NA;9
"11030310";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(35,45]";"Single";"Unskilled worker";2
"11030510";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"4";"F";"(25,35]";"Single";"Management";11
"11030610";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"F";"(25,35]";"Single";"Other";12
"11030710";"1";"1";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"M";"(35,45]";"Remarried";"Management";8
"11031010";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"F";"(55,65]";"Married";"Management";10
"11031610";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(45,55]";"Widower";"Foreman";6
"11031810";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(45,55]";"Married";"Manual labourer";4
"11032010";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"M";"[15,25]";"Single";"Management";12
"11032410";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"F";"(35,45]";"Single";"Employee";9
"11032610";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(45,55]";"Single";"Management";7
"11032810";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(55,65]";"Married";"Management";3
"11033510";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"2";"F";"(35,45]";"Married";NA;14
"11033710";"0";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(35,45]";"Married";"Employee";8
"11034010";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"(45,55]";"Divorcee";"Employee";2
"11034110";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"F";"(25,35]";"Married";"Management";5
"11034210";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(45,55]";"Single";"Management";4
"11034310";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"F";"(25,35]";"Single";NA;7
"11034610";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"F";"(25,35]";"Single";"Management";13
"11034710";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"M";"[15,25]";"Married";"Employee";13
"11034810";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(75,85]";"Divorcee";"Employee";3
"11035110";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(25,35]";"Single";"Foreman";7
"11035310";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(25,35]";"Single";"Other";7
"11035510";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(35,45]";"Single";"Employee";3
